idDrink,strDrink,strDrinkAlternate,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsIT,strInstructionsZH-HANS,strInstructionsZH-HANT,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strImageSource,strImageAttribution,strCreativeCommonsConfirmed,dateModified
11010,After Dinner Cocktail,,DinnerParty,,Ordinary Drink,,Alcoholic,Cocktail glass,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.,,Alle Zutaten (außer Limettenkeil) mit Eis schütteln und in ein Cocktailglas abseihen. Den Limettenkeil dazugeben und servieren.,,Shakerare tutti gli ingredienti (eccetto uno spicchio di lime) con ghiaccio e filtrare in una coppetta da cocktail.Aggiungere lo spicchio di lime e servire.,,,https://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg,Apricot brandy,Triple sec,Lime,Lime,,,,,,,,,,,,1 oz ,1 oz ,Juice of 1 ,1 ,,,,,,,,,,,,https://www.thecocktaildb.com/drink/11010,TheCocktailDB.com,Yes,2017-01-02 20:06:18
11011,After Supper Cocktail,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",,"Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",,"Shakerare tutti gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.",,,https://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg,Triple sec,Apricot brandy,Lemon juice,,,,,,,,,,,,,1 oz ,1 oz ,1/2 tsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/drink/11011,TheCocktailDB.com,Yes,2017-01-02 20:06:50
11012,Alabama Slammer,,Summer,,Ordinary Drink,,Alcoholic,Highball glass,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",,"Alle Zutaten (außer Zitronensaft) in einem Highball-Glas über Eis gießen. Umrühren, einen Schuss Zitronensaft hinzufügen und servieren.",,"Versare tutti gli ingredienti (tranne il succo di limone) sul ghiaccio in un bicchiere highball.Mescolate, aggiungete un goccio di succo di limone e servite.",,,https://www.thecocktaildb.com/images/media/drink/jntghf1606771886.jpg,Southern Comfort,Amaretto,Sloe gin,Lemon juice,,,,,,,,,,,,1 oz ,1 oz ,1/2 oz ,1 dash ,,,,,,,,,,,,https://www.pxfuel.com/en/free-photo-eplac,pxfuel.com,Yes,2017-01-02 20:07:27
11013,Alaska Cocktail,,"Beach,Chilli",,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",,"Alle Zutaten mit Eis verrühren, Inhalt in ein Cocktailglas abseihen. Einen Spritzer Zitrone dazugeben und servieren.",,"Mescolare tutti gli ingredienti con ghiaccio, filtrare il contenuto in un bicchiere da cocktail.Aggiungere una noce di limone e servire.",,,https://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg,Orange bitters,Gin,Yellow Chartreuse,Lemon peel,,,,,,,,,,,,2 dashes ,1 1/2 oz ,3/4 oz ,Twist of ,,,,,,,,,,,,,,No,2017-01-02 20:08:40
11014,Alexander,,"IBA,Classic,Dairy",https://www.youtube.com/watch?v=qEhRK_v2w2g,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,,Alle Zutaten mit Eis schütteln und in ein Cocktailglas abseihen. Muskatnuss darüber streuen und servieren.,,Shakerare tutti gli ingredienti con ghiaccio e filtrare il contenuto in un bicchiere da cocktail. Cospargere di noce moscata e servire.,,,https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg,Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz ,,,,,,,,,,,,,https://www.pxfuel.com/en/free-photo-expqp,pxfuel.com,Yes,2016-11-04 09:50:39
11016,Brandy Alexander,,"Nutty,Dairy",,Ordinary Drink,,Alcoholic,Whiskey Glass,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,,Alle Zutaten (außer Muskatnuss) mit Eis schütteln und in ein Cocktailglas abseihen. Muskatnuss darüber streuen und servieren.,,Shakerare tutti gli ingredienti (tranne la noce moscata) con ghiaccio e filtrare il contenuto in una coppetta da cocktail. Cospargere di noce moscata e servire.,,,https://www.thecocktaildb.com/images/media/drink/mlyk1i1606772340.jpg,Brandy,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,,1 oz ,1 oz white ,1 oz ,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/File:Brandy_Alexander_on_the_Rocks.jpg,Will Shenton,Yes,2017-01-02 20:09:06
11019,Alfie Cocktail,,Alcoholic,,Ordinary Drink,,Alcoholic,Cocktail glass,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",,"Alle Zutaten mit Eis mischen und schütteln, in ein Cocktailglas abseihen und servieren.",,"Unire e scuotere tutti gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.",,,https://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,Lemon vodka,Triple sec,Pineapple juice,,,,,,,,,,,,,1 1/2 oz ,1 dash ,1 tblsp ,,,,,,,,,,,,,,,No,2017-01-02 20:10:29
11020,Algonquin,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",,"Alle Zutaten mit Eis mischen und schütteln, Inhalt in ein Cocktailglas abseihen und servieren.",,"Unire e scuotere tutti gli ingredienti con ghiaccio, filtrare il contenuto in una coppetta da cocktail e servire.",,,https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Blended whiskey,Dry Vermouth,Pineapple juice,,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,,,,,,,,,,,,,,,No,2017-01-02 20:11:13
11021,Allegheny,,,,Ordinary Drink,,Alcoholic,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,,Alle Zutaten (außer Zitronenschale) mit Eis schütteln und in ein Cocktailglas abseihen. Mit der Drehung der Zitronenschale garnieren und servieren.,,Shakerare tutti gli ingredienti (tranne la buccia di limone) con ghiaccio e filtrare in una coppetta da cocktail.Completare con la scorza di limone e servire.,,,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,,,,,,,,1 oz ,1 oz ,1 1/2 tsp ,1 1/2 tsp ,1 twist of ,,,,,,,,,,,,,No,2017-01-02 20:12:14
11022,Allies Cocktail,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",,"Alle Zutaten mit Eis verrühren, Inhalt in ein Cocktailglas abseihen und servieren.",,"Mescolare tutti gli ingredienti con ghiaccio, filtrare il contenuto in una coppetta da cocktail e servire.",,,https://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg,Dry Vermouth,Gin,Kummel,,,,,,,,,,,,,1 oz ,1 oz ,1/2 tsp ,,,,,,,,,,,,,,,No,2017-01-02 20:15:04
